"customer_id","OrderDate","Product","Quantity","OrderValue","Discount","Status"
1189,"2024-06-04","Headphones",2,1175.94,"5%","Refunded"
1086,"2025/02/04","Tablet",5,84.99,"0","Complete"
9149,"06 May 2025","Chair",4,90.98,"0","Cancelled"
1223,"05/11/2025",".",1,735.46,"N/A","Cancelled"
1063,"2024/03/22","Unknown",6,772.78,"10%","Complete"
1002,"24/07/2024","Router",5,336.12,"0.15","Pending"
1089,"01 Dec 2025","Webcam",5,920.3,"5%","Pending"
1205,"Unknown","Tablet",4,962.09,"0.15","Pending"
1068,"Unknown","Monitor",5,1001.55,"N/A","Cancelled"
1011,"2025/01/21","Printer",3,208.01,"","Cancelled"
1094,"2024/10/16","Chair",6,222.45,"5%","COMPLETE"
1213,"NULL","Tablet",2,1499.58,"0.15","Refunded "
1238,"21-07-2024","Phone",5,388.89,"N/A","Pending"
1064,"07/06/2026","Printer",5,333.45,"N/A","Pending"
1126,"27 Nov 2025","Tablet",3,1009.86,"N/A","Cancelled"
1080,"25-01-2026","Mouse",3,589.45,"10%","Complete"
1161,"26 Sep 2025","",1,860.74,"20","Cancelled"
1186,"2026-06-08","Webcam",6,173.27,"0.15","Complete"
1114,"2026/01/08","Monitor",5,1195.48,"N/A","Pending"
1011,"23-Feb-2025","Router",1,565.06,"","Pending"
1228,"25 Jan 2025"," Desk",6,1253.79,"N/A","Pending"
1046,"16-02-2026","Router",4,1475.55,"5%","Cancelled"
1067,"15/06/2025","printer",3,840.37,"10%","Cancelled"
1061,"27-Jul-2025","Phone",4,530.63,"0.15","Cancelled"
1224,"2024-07-31","",6,1445.59,"10%","Cancelled"
1038,"2024-08-22","Monitor",6,1096.41,"10%","Complete"
9840,"2025/04/06","Printer",5,845.9,"5%","Cancelled"
1237,"2025/10/04","Laptop",4,268.76,"10%","Complete"
1021,"28 Jun 2024","Monitor",4,966.31,"0.15"," Cancelled"
9524,"25 Apr 2026","Keyboard",4,1407.65,"20","Pending"
1239,"22-Apr-2024","Headphones",3,1003.58,"10%","Cancelled"
1007,"22/12/2024","Phone",2,1023.55,"N/A","Pending"
9330,"30/01/2024","Monitor",6,199.47,"N/A","Complete"
1176,"17-Oct-2024","Mouse",4,362.83,"20","Refunded"
1106,"24-Jul-2024","Headphones",4,838.21,"0.15","Pending "
1223,"12-Jun-2025","Printer",2,890.78,"20","Pending"
