"customer_id","OrderDate","Product","Quantity","OrderValue","Discount","Status"
1169,"08-Dec-2025","Webcam",2,83.43,"0","Complete"
1122,"08/06/2026","Headphones",5,621.12,"10%","Refunded"
1157,"30-Sep-2025","Mouse",5,1392.13,"10%","Refunded"
1215,"2025-01-02","Phone",2,148.86,"0","CANCELLED"
9630,"N/A","webcam",4,466.88,"N/A","Pending"
1057,"29-05-2024","Keyboard",1,687.64,"10%","Complete"
1055,"28 Jun 2024","Webcam",4,772.06,"0.15","Complete"
1225,"2024/02/04","Chair",3,721.53,"0.15","Cancelled"
1005,"2025-12-10","Mouse",3,900,"0","Pending"
1075,"2024/06/22","",4,646.06,"10%","Cancelled"
1112,"06-09-2025","Tablet",1,110.97,"20","Refunded"
1038,"15-Jul-2024","Headphones",4,362.94,"10%","Cancelled"
9221,"24-05-2024","Printer",4,68.92,"0","Refunded"
1107,"","Phone",6,739.19,"5%","Refunded"
1184,"15-Nov-2024","Phone",2,331.9,"20"," Refunded"
1153,"2024/07/24","Printer",3,138.85,"0.15","Complete"
1135,"04-09-2024","Keyboard",6,835.54,"","Pending"
1019,"06-01-2026","Desk",2,359.47,"5%","Pending"
1100,"19/06/2026","Router",4,1355.41,"0.15","Pending"
1171,"2025/09/17","Chair",4,459.88,"N/A","Pending"
1174,"02 Jul 2025","Tablet",5,114.21,"0.15","Refunded "
9946,"23 Jan 2025","desk",1,1213.39,"20","Cancelled "
1216,"2024-07-12","Chair",2,673.23,"0","Complete"
1108,"17-06-2024","Chair",2,231.65,"0.15","CANCELLED"
1184,"07-Jul-2025","Laptop",1,936.18,"5%","Cancelled"
1166,"26-Feb-2024","Printer",6,87.6,"N/A","Refunded"
9496,"21 Apr 2025","Keyboard",1,191.72,"0","Refunded"
1113,"02/05/2024","Desk",2,398.82,"10%","Cancelled"
1039,"30-Sep-2025","phone",2,1267.65,"","Cancelled"
9141,"03 Feb 2024","Laptop",2,535.42,"20","Complete"
1215,"18 Jan 2024","Phone",4,125.04,"5%","refunded"
1093,"2024/03/16","Router",2,257.07,"20","Cancelled"
1072,"2025/06/14","Keyboard",5,737.42,"","Pending"
1049,"2024-06-13","Printer",5,89.28,"20","Pending"
1223,"11-Jul-2024","Chair",2,558.88,"","Pending"
1060,"2024-04-20","Chair",4,262.35,"N/A","Complete"
9936,"03-06-2025","Chair",2,241.06,"0.15","Refunded"
1040,"2025-11-09","Monitor",3,766.33,"20","Refunded"
1189,"30/10/2025","Keyboard",6,773.94,"0.15","Refunded"
1003,"2025/10/13","Printer",1,816.74,"0.15","Complete"
1233,"21-03-2024","Headphones",2,465.09,"","Complete "
1100,"2024-04-19","Mouse",2,938.46,"N/A","Cancelled"
1145,"18/11/2024","Router",2,1175.87,"0","Refunded"
1241,"27-Aug-2024","Router",6,1135.97,"N/A","Cancelled"
1098,"24-Feb-2025","Monitor",5,161.42,"N/A","Cancelled"
1081,"27 Mar 2025","Headphones",5,963.06,"10%","Pending"
9077,"2025-07-03","Mouse",5,1200.82,"10%","Cancelled"
1114,"26 Jan 2025","Phone",5,1073.33,"20","Cancelled"
1040,"2025/09/27","Monitor",2,599.31,"N/A","Complete"
1115,"27-Apr-2024","Phone",1,386.5,"0.15","Complete"
1195,"2025-10-13","Phone",2,1335.59,"N/A","Cancelled"
1193,"13-03-2025","Mouse",4,525.89,"10%","Pending"
1185,"2025-11-08"," Laptop",4,1105.83,"","Pending"
1037,"2026/06/15",".",3,1458.59,"20","Pending"
1076,"2025-12-27","keyboard",2,819.7,"","Refunded"
1238,"2024/10/22","Laptop",4,875.78,"20","Refunded"
1177,"2025-08-18","Laptop",3,1218.28,""," Refunded"
1063,"15-Jul-2025","Webcam",2,1198,"5%"," Pending"
1208,"31/01/2026","Router",3,1108.82,"0.15","Complete"
1226,"2025-01-05","Desk",1,1387.3,"20","Cancelled"
1144,"07-02-2025","Headphones",3,139.31,"0","Complete"
1241,"10-Dec-2024","Mouse",6,266.35,"5%","Cancelled"
9754,"01-May-2026","Router",3,928.64,"","Complete"
9383,"19-Aug-2024","Monitor",1,945.41,"10%","Refunded"
1037,"20-10-2024","Webcam",3,218.46,"0","Pending"
1226,"03/06/2024","Router",5,545.8,"5%","complete"
1035,"2025/04/12","Router",4,947.65,"5%","Pending"
1116,"11-08-2025","Printer",6,733.8,"N/A","Pending"
1116,"2026/04/25","Mouse",6,426.3,"N/A","Pending"
1144,"17/06/2026","Router",2,683.51,"10%","Complete"
1011,"05/01/2025"," Router",3,683.15,"0","Cancelled"
1065,"11-09-2025","Phone",6,1036.88,"5%","Cancelled"
9000,"29-08-2025","Keyboard ",3,329.94,"N/A","Refunded"
1059,"2025-06-01","Laptop",1,733.67,"5%","Cancelled"
1048,"08/09/2025","Chair",2,652.04,"5%","Cancelled"
1238,"02-10-2024","Chair",5,1167.5,"","Pending"
1060,"2026-02-28","Laptop",4,1050.05,"","Complete"
1233,"05/06/2026","Laptop",2,1135.28,"0.15","Pending"
1031,"2025-11-23","Chair",3,1414.37,"10%","Cancelled"
1198,"2024-04-20","Tablet",3,93.12,"","Cancelled"
1181,"28-Nov-2024","Tablet",6,1450.42,"10%"," Pending"
1151,"2024-01-07","Router",6,631.47,"0.15","Refunded"
1126,"17/03/2026","Chair",1,121.99,"N/A","Complete"
1191,"2025/11/02","Chair",2,1166.49,"10%","Cancelled"
9916,"11-10-2025","Monitor",4,256.75,"5%","refunded"
1006,"2024/08/30","Desk",1,207.58,"20","pending"
1128,"09-12-2024","Phone",4,786.7,"20"," Cancelled"
1064,"06/10/2025","Chair",6,632.02,"0.15","Cancelled"
1024,"19 Oct 2024","KEYBOARD",4,304.22,"N/A","Refunded"
1080,"28-Jul-2024","Tablet ",5,265.89,"0.15"," Complete"
1204,"29-03-2025","Desk",4,1243.32,"10%","Cancelled"
